Run,age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,condition,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,intentional_duplicate (run),LibraryLayout,LibrarySelection,LibrarySource,Organ,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain
SRR11256366,8 to 12 weeks,RNA-Seq,51,888031584,PRJNA556004,SAMN14322704,438930686,GP38posCD31neg,GEO,steady_state,public,"sra,run.zq,bam","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX7866393,GSM4395918,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,LargeIntestine,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:14:00Z,1,GSM4395918,Murine structural cells,SRP215937,C57BL/6J
SRR11256382,8 to 12 weeks,RNA-Seq,65,1375122385,PRJNA556004,SAMN14322672,637013480,GP38posCD31neg,GEO,steady_state,public,"run.zq,bam,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX7866409,GSM4395934,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,Liver,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:16:00Z,1,GSM4395934,Murine structural cells,SRP215937,C57BL/6J
SRR11256383,8 to 12 weeks,RNA-Seq,51,1160544933,PRJNA556004,SAMN14322671,471281207,GP38posCD31neg,GEO,steady_state,public,"sra,bam,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX7866410,GSM4395935,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,Liver,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:16:00Z,1,GSM4395935,Murine structural cells,SRP215937,C57BL/6J
SRR11256384,8 to 12 weeks,RNA-Seq,51,1677720582,PRJNA556004,SAMN14322670,699710623,GP38posCD31neg,GEO,steady_state,public,"run.zq,bam,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX7866411,GSM4395936,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,Liver,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:30:00Z,1,GSM4395936,Murine structural cells,SRP215937,C57BL/6J
SRR11256400,8 to 12 weeks,RNA-Seq,61,1547847367,PRJNA556004,SAMN14322593,601132953,GP38posCD31neg,GEO,steady_state,public,"run.zq,sra,bam","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX7866427,GSM4395952,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,Lung,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:18:00Z,1,GSM4395952,Murine structural cells,SRP215937,C57BL/6J
SRR11256401,8 to 12 weeks,RNA-Seq,51,1120187511,PRJNA556004,SAMN14322592,459188248,GP38posCD31neg,GEO,steady_state,public,"sra,bam,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX7866428,GSM4395953,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,Lung,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:19:00Z,1,GSM4395953,Murine structural cells,SRP215937,C57BL/6J
SRR11256402,8 to 12 weeks,RNA-Seq,51,824739972,PRJNA556004,SAMN14322591,346581337,GP38posCD31neg,GEO,steady_state,public,"sra,run.zq,bam","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX7866429,GSM4395954,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,Lung,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:16:00Z,1,GSM4395954,Murine structural cells,SRP215937,C57BL/6J
SRR11256452,8 to 12 weeks,RNA-Seq,65,1480764480,PRJNA556004,SAMN14322602,685277668,GP38posCD31neg,GEO,steady_state,public,"sra,run.zq,bam","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX7866479,GSM4396004,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,SmallIntestine,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:22:00Z,1,GSM4396004,Murine structural cells,SRP215937,C57BL/6J
SRR11256453,8 to 12 weeks,RNA-Seq,51,1025212914,PRJNA556004,SAMN14322601,415126071,GP38posCD31neg,GEO,steady_state,public,"bam,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX7866480,GSM4396005,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,SmallIntestine,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:19:00Z,1,GSM4396005,Murine structural cells,SRP215937,C57BL/6J
SRR11256454,8 to 12 weeks,RNA-Seq,51,814170324,PRJNA556004,SAMN14322600,397880389,GP38posCD31neg,GEO,steady_state,public,"run.zq,bam,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX7866481,GSM4396006,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,SmallIntestine,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:18:00Z,1,GSM4396006,Murine structural cells,SRP215937,C57BL/6J
SRR11256470,8 to 12 weeks,RNA-Seq,51,1026192624,PRJNA556004,SAMN14322646,416505673,GP38posCD31neg,GEO,steady_state,public,"sra,bam,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX7866497,GSM4396022,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,Spleen,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:22:00Z,1,GSM4396022,Murine structural cells,SRP215937,C57BL/6J
SRR11256471,8 to 12 weeks,RNA-Seq,51,1294619955,PRJNA556004,SAMN14322734,598757333,GP38posCD31neg,GEO,steady_state,public,"sra,bam,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX7866498,GSM4396023,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,Spleen,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:20:00Z,1,GSM4396023,Murine structural cells,SRP215937,C57BL/6J
SRR11256472,8 to 12 weeks,RNA-Seq,65,1127531405,PRJNA556004,SAMN14322733,524802919,GP38posCD31neg,GEO,steady_state,public,"sra,run.zq,bam","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX7866499,GSM4396024,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,Spleen,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:20:00Z,1,GSM4396024,Murine structural cells,SRP215937,C57BL/6J
